13:14:31;Tu=72.38;Tm=76.31;Td=82.38;Tc=0.00;Tdif=76.31;Tj=0.00;To=0.00;Tj=761.78
13:15:00;Tu=73.06;Tm=76.00;Td=77.88;Tc=0.00;Tdif=76.00;Tj=0.00;To=0.00;Tj=761.78
13:15:30;Tu=73.56;Tm=76.13;Td=77.50;Tc=0.00;Tdif=76.13;Tj=0.00;To=0.00;Tj=761.78
13:16:01;Tu=73.94;Tm=76.38;Td=77.63;Tc=0.00;Tdif=76.38;Tj=0.00;To=0.00;Tj=761.77
13:16:31;Tu=74.38;Tm=76.69;Td=78.19;Tc=0.00;Tdif=76.69;Tj=0.00;To=0.00;Tj=761.77
13:17:01;Tu=74.56;Tm=76.69;Td=78.25;Tc=0.00;Tdif=76.69;Tj=0.00;To=0.00;Tj=761.77
13:17:31;Tu=70.25;Tm=76.00;Td=77.75;Tc=0.00;Tdif=76.00;Tj=0.00;To=0.00;Tj=761.78
13:18:01;Tu=66.31;Tm=74.88;Td=76.75;Tc=0.00;Tdif=74.88;Tj=0.00;To=0.00;Tj=761.78
13:18:30;Tu=64.31;Tm=74.00;Td=75.94;Tc=0.00;Tdif=74.00;Tj=0.00;To=0.00;Tj=761.78
13:19:00;Tu=62.44;Tm=73.06;Td=75.06;Tc=0.00;Tdif=73.06;Tj=0.00;To=0.00;Tj=761.77
13:19:31;Tu=60.50;Tm=72.13;Td=74.19;Tc=0.00;Tdif=72.13;Tj=0.00;To=0.00;Tj=761.76
13:20:01;Tu=58.50;Tm=71.19;Td=73.31;Tc=0.00;Tdif=71.19;Tj=0.00;To=0.00;Tj=761.76
13:20:31;Tu=56.75;Tm=70.13;Td=72.44;Tc=0.00;Tdif=70.13;Tj=0.00;To=0.00;Tj=761.76
13:21:00;Tu=55.19;Tm=69.13;Td=71.63;Tc=0.00;Tdif=69.13;Tj=0.00;To=0.00;Tj=761.76
13:21:30;Tu=53.81;Tm=68.13;Td=70.81;Tc=0.00;Tdif=68.13;Tj=0.00;To=0.00;Tj=761.75
13:22:01;Tu=57.13;Tm=75.50;Td=76.75;Tc=0.00;Tdif=75.50;Tj=0.00;To=0.00;Tj=761.76
13:22:31;Tu=72.56;Tm=76.56;Td=77.75;Tc=0.00;Tdif=76.56;Tj=0.00;To=0.00;Tj=761.75
13:23:01;Tu=73.81;Tm=76.75;Td=78.81;Tc=0.00;Tdif=76.75;Tj=0.00;To=0.00;Tj=761.75
